date,variable,measurement,month,year
1986-05-31,tmax,28.225806451612904,5,1986
1986-06-30,tmax,32.63636363636363,6,1986
1986-07-31,tmax,,7,1986
1986-08-31,tmax,,8,1986
1986-09-30,tmax,,9,1986
1986-10-31,tmax,,10,1986
1986-11-30,tmax,,11,1986
1986-12-31,tmax,,12,1986
1987-01-31,tmax,,1,1987
1987-02-28,tmax,,2,1987
1987-03-31,tmax,,3,1987
1987-04-30,tmax,,4,1987
1987-05-31,tmax,,5,1987
1987-06-30,tmax,,6,1987
1987-07-31,tmax,,7,1987
1987-08-31,tmax,,8,1987
1987-09-30,tmax,,9,1987
1987-10-31,tmax,,10,1987
1987-11-30,tmax,20.074074074074073,11,1987
1987-12-31,tmax,15.96774193548387,12,1987
1988-01-31,tmax,,1,1988
1988-02-29,tmax,18.810344827586206,2,1988
1988-03-31,tmax,20.225806451612904,3,1988
1988-04-30,tmax,20.566666666666666,4,1988
1988-05-31,tmax,28.580645161290324,5,1988
1988-06-30,tmax,34.266666666666666,6,1988
1988-07-31,tmax,32.483870967741936,7,1988
1988-08-31,tmax,30.419354838709676,8,1988
1988-09-30,tmax,28.266666666666666,9,1988
1988-10-31,tmax,26.838709677419356,10,1988
1988-11-30,tmax,19.166666666666668,11,1988
1988-12-31,tmax,15.129032258064516,12,1988
1989-01-31,tmax,14.709677419354838,1,1989
1989-02-28,tmax,19.821428571428573,2,1989
1989-03-31,tmax,26.580645161290324,3,1989
1989-04-30,tmax,27.733333333333334,4,1989
1989-05-31,tmax,30.096774193548388,5,1989
1989-06-30,tmax,,6,1989
1989-07-31,tmax,,7,1989
1989-08-31,tmax,,8,1989
1989-09-30,tmax,,9,1989
1989-10-31,tmax,,10,1989
1989-11-30,tmax,,11,1989
1989-12-31,tmax,,12,1989
1990-01-31,tmax,,1,1990
1990-02-28,tmax,,2,1990
1990-03-31,tmax,,3,1990
1990-04-30,tmax,,4,1990
1990-05-31,tmax,,5,1990
1990-06-30,tmax,,6,1990
1990-07-31,tmax,,7,1990
1990-08-31,tmax,,8,1990
1990-09-30,tmax,,9,1990
1990-10-31,tmax,,10,1990
1990-11-30,tmax,,11,1990
1990-12-31,tmax,,12,1990
1991-01-31,tmax,,1,1991
1991-02-28,tmax,,2,1991
1991-03-31,tmax,,3,1991
1991-04-30,tmax,,4,1991
1991-05-31,tmax,,5,1991
1991-06-30,tmax,,6,1991
1991-07-31,tmax,,7,1991
1991-08-31,tmax,36.74193548387097,8,1991
1991-09-30,tmax,35.13333333333333,9,1991
1991-10-31,tmax,34.25806451612903,10,1991
1991-11-30,tmax,,11,1991
1991-12-31,tmax,,12,1991
1992-01-31,tmax,19.548387096774192,1,1992
1992-02-29,tmax,23.413793103448278,2,1992
1992-03-31,tmax,24.321428571428573,3,1992
1992-04-30,tmax,30.8,4,1992
1992-05-31,tmax,32.74193548387097,5,1992
1992-06-30,tmax,38.86666666666667,6,1992
1992-07-31,tmax,38.25806451612903,7,1992
1992-08-31,tmax,36.1,8,1992
1992-09-30,tmax,37.3,9,1992
1992-10-31,tmax,33.96774193548387,10,1992
1992-11-30,tmax,24.133333333333333,11,1992
1992-12-31,tmax,22.870967741935484,12,1992
1993-01-31,tmax,,1,1993
1993-02-28,tmax,,2,1993
1993-03-31,tmax,,3,1993
1993-04-30,tmax,,4,1993
1993-05-31,tmax,,5,1993
1993-06-30,tmax,,6,1993
1993-07-31,tmax,,7,1993
1993-08-31,tmax,,8,1993
1993-09-30,tmax,,9,1993
1993-10-31,tmax,,10,1993
1993-11-30,tmax,,11,1993
1993-12-31,tmax,,12,1993
1994-01-31,tmax,,1,1994
1994-02-28,tmax,,2,1994
1994-03-31,tmax,,3,1994
1994-04-30,tmax,,4,1994
1994-05-31,tmax,,5,1994
1994-06-30,tmax,41.43333333333333,6,1994
1994-07-31,tmax,40.645161290322584,7,1994
1994-08-31,tmax,39.61290322580645,8,1994
1994-09-30,tmax,36.6,9,1994
1994-10-31,tmax,30.677419354838708,10,1994
1994-11-30,tmax,,11,1994
1994-12-31,tmax,,12,1994
1995-01-31,tmax,,1,1995
1995-02-28,tmax,,2,1995
1995-03-31,tmax,,3,1995
1995-04-30,tmax,,4,1995
1995-05-31,tmax,,5,1995
1995-06-30,tmax,,6,1995
1995-07-31,tmax,,7,1995
1995-08-31,tmax,,8,1995
1995-09-30,tmax,,9,1995
